Time,microgrid_1_bus_0,microgrid_1_bus_1,microgrid_1_bus_2,microgrid_1_bus_3,microgrid_1_bus_4,microgrid_1_bus_5,microgrid_1_bus_6,microgrid_1_bus_7,microgrid_1_bus_8,microgrid_1_bus_9
2013-03-01 00:00:00,45.91982050334063,68.46157059371413,68.65606369199172,73.84902941600356,66.63333546990472,54.788705784799056,15.267708214791359,71.96244636271088,70.34815364700681,49.71243591975378
2013-03-01 01:00:00,47.44602271910685,70.73697584551297,70.9379331632559,76.30349354699226,68.84797705872938,56.60967640818467,15.775149442820364,74.3542075648858,72.68626182761945,51.36469041509408
2013-03-01 02:00:00,43.335490225134066,64.6086088913477,64.79215607569812,69.69286589785432,62.883265358453755,51.7052418315132,14.408453971507939,67.91245820965526,66.38901657954678,46.914660319967254
2013-03-01 03:00:00,36.01437187414075,53.69359974458934,53.84613838022738,57.918919951762994,52.25973656959179,42.97013365923528,11.974282897585974,56.43929518607403,55.17322451027832,38.98887526908249
2013-03-01 04:00:00,36.431768970940524,54.31589444206296,54.47020096036428,58.590184999009395,52.86541317003061,43.4681462054805,12.113061686653245,57.09341177148664,55.81266766958572,39.44074607781618
2013-03-01 05:00:00,29.98639163065556,44.706522041468695,44.83352920635923,48.22462050893654,43.51265469149766,35.777918349664006,9.97006244390708,46.992651009498346,45.938491540906895,32.46303134602102
2013-03-01 06:00:00,31.891965012984382,47.54752937132784,47.68260757976911,51.28919574515108,46.27779421197988,38.0515313179064,10.603639362639873,49.97893712327075,48.857787993208184,34.52599007758919
2013-03-01 07:00:00,64.37216709629325,95.97205767850583,96.24470556963794,103.52440426286553,93.40916750186392,76.80491093191787,21.40285945387133,100.87971971888398,98.61674222248739,69.68880097336958
2013-03-01 08:00:00,75.7883979981947,112.99244428362785,113.31344554579724,121.88417924572015,109.97503241923552,90.42605555311921,25.198599080297686,118.770467002677,116.106156526671,82.04792261049795
2013-03-01 09:00:00,66.69289206759161,99.43201189238563,99.7144891988981,107.25663328278075,96.77672521116853,79.57385724455975,22.174468561228043,104.5166034096099,102.17204176555649,72.20119954458457
2013-03-01 10:00:00,81.90617013010083,122.113392146529,122.46030519239982,131.72288351715073,118.85240951534328,97.72540502181029,27.232674100859448,128.35782697220378,125.47844869147598,88.67097452458185
2013-03-01 11:00:00,69.06725638251298,102.97193666516125,103.26447057614182,111.07512599932309,100.22211790194388,82.40680272322706,22.96391201197488,108.23754706281154,105.8095156016728,74.77166764663414
2013-03-01 12:00:00,70.32775195225214,104.8512015552425,105.14907428693353,113.10227622308403,102.05119787734682,83.9107485173631,23.38300943774584,110.21291072568104,107.7405670526455,76.13627022022723
2013-03-01 13:00:00,40.43550423199476,60.28503807565505,60.45630238836998,65.02905953785859,58.67515353613472,48.24515689179553,13.444248548121935,63.36779570452378,61.94630190898987,43.775158329935884
2013-03-01 14:00:00,36.44794504872997,54.340011254353875,54.49438628632647,58.61619963999479,52.888885953811474,43.48744650668036,12.118440009848804,57.11876182986061,55.83744906448806,39.4582581721956
2013-03-01 15:00:00,63.821435676545185,95.15097568040622,95.42129095222555,102.63870870980182,92.61001212530446,76.1478120715069,21.219748837817864,100.01665057315427,97.77303381705377,69.09258347702225
2013-03-01 16:00:00,90.83465568711256,135.42481491683026,135.80954450466214,146.081824499774,131.80835679121037,108.37832489224739,30.201272644804472,142.34994749780452,139.15669191879974,98.33688264983469
2013-03-01 17:00:00,138.72417531579111,206.8229975059656,207.41056283978935,223.09855725288392,201.2998833680222,165.51715453815484,46.12387870516562,217.3991735147934,212.52238124405613,150.18169932535457
2013-03-01 18:00:00,154.24610632085432,229.9645464842894,230.61785485498342,248.06118835251334,223.8234477997658,184.03696802450094,51.28470709947931,241.7240971567815,236.30163768002126,166.98561954938742
2013-03-01 19:00:00,151.79781213420205,226.3144001323131,226.9573387690526,244.12380036999795,220.27077694696155,181.11581396952442,50.47068298405277,237.88729559362457,232.5509049086865,164.33511555062282
2013-03-01 20:00:00,76.89932293491711,114.64871526086752,114.97442183831318,123.67078745611194,111.58707343287846,91.75154286643858,25.56796632948324,120.51143365488917,117.80806906209031,83.25060119510722
2013-03-01 21:00:00,87.36711289448748,130.25507725057005,130.62512008366826,140.50526372739048,126.7766746194469,104.24106608376587,29.048362398209516,136.91584824633784,133.84449273162272,94.58294813990258
2013-03-01 22:00:00,77.52599635307818,115.58301870513986,115.91137955373401,124.67861421119775,112.49642672835489,92.4992510489713,25.776326614640567,121.49351397983453,118.7681189365031,83.92903290066407
